✓,Item,Owner,12/5/2025,Days Out from comp start ,Category,Links,Next Steps,Notes,TOC,Priority
,Lock in Commentary Talent & Record here in gogole sheet ,Isaac ,12/1/2025,4,Commentatary,https://docs.google.com/spreadsheets/d/1reYJ4jWWngWaGY-hlrCKYTv2LQwfVFd_PICsARNFBys/edit#gid=353082143,,,,
,Check master Sheet for youtube and record the Stream key,Isaac ,11/30/2025,5,Streamer,https://docs.google.com/spreadsheets/d/1eFXw97Eb7ZBYc39RoxjbGoG_YftAMS4mN3ZWoVVvuYM/edit?gid=1658651021#gid=1658651021,,,,
,Create Youtube Stream Landing Page w/ Countdown,Isaac ,11/29/2025,6,Youtube,,,,,
,Update Description & Title of Youtube,Isaac ,11/30/2025,5,Youtube,(Official Stream) - William & Mary vs West Chester - Women's NCAA Gymnastics,"This is an official stream by Virtius. Follow along here to see team scores, lineups, leaderboards, and individual scores! Join in the conversation and chat with our commentary talent! Commentary by: Sydney Snead Tiara DeTommaso",,,
,"Confirm that the youtube stream is a ""Streaming software stream"" not a mobile",Isaac ,11/29/2025,6,Youtube,,,,,
,Register Youtube Account 24 hour in advance to enable Streaming,Isaac ,11/29/2025,6,Youtube,,,,,
,Create meet graphic for youtube 16x9 & Add Main Stream and Commentary on Grpahics,Isaac ,11/30/2025,5,Youtube,,,,,
,Add Thumbnail to youtube Stream ,Isaac ,11/30/2025,5,Youtube,,,,,
,Send meet graphic out to commentator talent ,Isaac ,12/3/2025,2,Social Media,,,,,
,Production Stream Embedded to Virtius Session,Isaac ,11/30/2025,5,Session,,,,,
,Make Youtube Stream Public,Isaac ,11/30/2025,5,Youtube,,,,,
,Log into youtube account that will be hosting the stream ,Isaac ,11/29/2025,6,OBS,,,,,
,Recieve meet graphics ,Isaac ,11/30/2025,5,Deliverable,,,,,
,Recieve Show Timeline,Isaac ,11/30/2025,5,Deliverable,,,,,
,Recieved Sponsorships and sponsor requirements,Isaac ,11/30/2025,5,Deliverable,,,,,
,Get customer approval of graphics & sponsorships,Isaac ,12/1/2025,4,Graphics,,,,,
,"Schedule Game Day Venue Check-in with camera, judges, & scoring ops",Isaac ,11/30/2025,5,Communications,,,,,
,Confirm Streaming Plan ,Isaac ,11/30/2025,5,Communications,,,,,
,Introduction to Camera Op/ Ops via phone number ,Isaac ,11/30/2025,5,Communications,,,,,
,Create Group Chat with Ops teams on the Ground & Camera Crew,Isaac ,12/4/2025,1, Communications,,,,,
,Create Talent Text Group Chat with producer ,Isaac ,11/30/2025,5,Talent,,,,,
,Schedule Game Day Check-In (1 hour before competition),Isaac ,12/1/2025,4,Talent,,,,,
,Schedule Pre-Game Check-in (Days before competition) - only for first timers,Isaac ,12/1/2025,4,Talent,,,,,
,Confirm Talent has usb microphone on the survey. If not follow up ,Isaac ,11/30/2025,5,Talent,,,,,
,Confirm bandwidth measurements for talent is recorded in survey,Isaac ,11/30/2025,5,Talent,,,,,
,Create and invite all parties to private discord Channel ,Isaac ,11/30/2025,5,Talent,,,,,
,Review Show Plan,Isaac ,11/30/2025,5,Talent,https://docs.google.com/spreadsheets/d/1qUqke07gXy5QQfSJpkfpbCH_QbVHld6AbYLl4QY7Y3Q/edit?gid=1969250038#gid=1969250038,,,,
,Send Show Plan to talent,Isaac ,11/30/2025,5,Talent,,,,,
,Populate Graphics Sheet for stream,Isaac ,12/1/2025,4,Graphics,https://docs.google.com/spreadsheets/d/1pFQHy7dq1L_rtt_P6QqiCqDHh7FHjb6ZaUfB22vVkTg/edit#gid=357611918,,,,
,Create Canva graphics for the stream,Isaac ,12/1/2025,4,Graphics,https://www.canva.com/design/DAGeEed-1r4/-v4PyPOVDX1Erw-FhZisbA/edit,,,,
,Confirm warm up has Dual view logos on both sides ,Isaac ,12/2/2025,3,Grpahics,,,,,
,Get team approval of graphics ,Isaac ,12/1/2025,4,Graphics,,,,,
,Populate Graphics in OBS,Isaac ,12/1/2025,4,OBS,,,,,
,Confirm Final Scenes and Sources layouts in OBS (main and backups),Isaac ,12/4/2025,1,OBS,,,,,
,Add lineups from both teams,Isaac ,12/4/2025,1,Session,,,,,
,Internal Streaming Dry Run ,Isaac ,12/1/2025,4,Internal Ops,,,,,
,Is site evaluation reaady to go with all scenes perpared - Locked in ,Isaac ,12/4/2025,1,Site Evaluation ,,,,,
,Confirm Game day cameras have the correct Larix port set ,Isaac ,12/5/2025,2hr,Camera Ops,,,,,
,Review camera locations & mark before hand (Shot Planning),Isaac ,12/5/2025,2hr,Camera Ops,,,,,
,Haivision Gateway Enabled,Isaac ,12/5/2025,2hr,VM,,,,,
,"Equipment Check for Primary Camera (extra battery, Back-Up Device, Tripod)",Isaac ,12/5/2025,2hr,Camera Ops,,,,,
,Update bandwidth measurements for primary camera (Bandwidth) + Confirm Wifi network,Isaac ,12/5/2025,2hr,Camera Ops,,,,,
,"Run through camera Larix hardening, settings, audio / visual lockdown",Isaac ,12/5/2025,2hr,Camera Ops,,,,,
,"Start Stream, Pull QR code/ Link and make sure configuration is proper for device",Isaac ,12/5/2025,30min,Camera Ops,,,,,
,Confirm Camera Op knows press finger on screen in larix Camera to auto lock the focus to center point ,Isaac ,12/5/2025,1hr,Camera Ops,,,,,
,Virtius Session is in LIVE Mode,Isaac ,12/5/2025,2hr,Session,,,,,
,Check Session is in Live Mode on Fan ,Isaac ,12/5/2025,2hr,Session,,,,,
,Confirm Stream Key in OBS,Isaac ,12/5/2025,2hr,OBS,,,,,
,Set OBS Stream Settings to 1080 @ 60fps @ 7k KBPS (confirm frame rate of OBS matches incoming video),Isaac ,12/5/2025,2hr,OBS,,,,,
,Confirm on all scenes team scores tickers is showing team scores - if not please crop or scroll to fit,Isaac ,12/5/2025,1hr,OBS,,,,,
,"Confirm Cameras are fitted to templates in Quad, Tri, dual, single ",Isaac ,12/5/2025,1hr,OBS,,,,,
,Applications of OBS needs to be on 1080p monitor,Isaac,12/5/2025,1hr,OBS ,,,,,
,Confirm Stinger Transition transition point is set to 14 FRAMES,Isaac,12/5/2025,2hr,OBS,,,,,
,Change all Browsers Sources to Public Virtius Session ,Isaac,12/5/2025,1hr,OBS,,,,,
✓,Confirm Stream Key in OBS,Producer,12/5/2025,2hr,OBS,,,,,
✓,Set OBS Stream Settings to 1080 @ 60fps @ 7k KBPS (confirm frame rate of OBS matches incoming video),Producer,12/5/2025,2hr,OBS,,,,,
✓,"Producer Logs into VM with Credentials (Windows 1 - 104.42.122.137:3389) 
Username: Virtius
Password: !JM2fNZLsqLP!7bYslm5ivjJCa4VWwtV",Producer,12/5/2025,1hr,VM,,,,,
✓,Enable Studio Mode in OBS ,Producer,12/5/2025,1hr,OBS ,,,,,
✓,Confirm correct SRT in OBS- will update,Producer,12/5/2025,1hr,OBS,,,,,
✓,Enable Streamer mode in discord ,Producer,12/5/2025,1hr,Discord,Setting in Discord you will need to find in settings menu,,,,
✓,"Confirm browser source ""Team 1 lineup"" is set to match team on the corresponding camera for both teams (in both march and core view THEY ARE DIFFERNT)",Producer,12/5/2025,1hr,OBS,"You must interact with the ""Team Lineup"" SOURCE in obs to make changes ",,,,
✓,Confirm animated background in obs ,Producer,12/5/2025,1hr,OBS,,,,,
✓,Confirm Background Music audible in Stream Starting Soon,Producer,12/5/2025,1hr,OBS,,,,,
✓,Interact with all Leaderboards and select the correct event for each leaderboard source - press F,Producer,12/5/2025,1hr,OBS,Pressing F makes the font larger,,,,
,"Confirm ""Camera 2 - Audio"" source on all ""March in"" & ""Core Video"" SCENES",Producer,12/5/2025,1hr,OBS,Camera A is the camera you will get your meet audio from. Camera B should be muted,,,,
,"Confirm Audio for ""Camera A"" is NOT MUTED in Audio Mixer, and all other cameras are muted",Producer,12/5/2025,1hr,OBS,,,,,
✓,Start Discord Call with Talent ,Producer,12/5/2025,1hr,Discord,,,,,
✓,Confirm correct audio inputs (Mic) and audio outputs (headphones) from talent in DISCORD,Producer,12/5/2025,1hr,Discord,,,,,
✓,"Right-click the program - Select ""Windowed Projector (Program)"" - Make the window full screen - Leave on in the background",Producer,12/5/2025,1hr,OBS ,This is the window that you will share to the talent in discord,,,,
✓,Start Discord Stream of OBS OUTPUT WINDOW at 720 60fps + confirmation talent can view,Producer,12/5/2025,1hr,Discord ,,,,,
✓,"Double click the source = ""Discord"" -> In the ""Window"" select the correct ""discord.exe"" from the drop down list",Producer,12/5/2025,1hr,OBS,This is how you capture the audio from the talent to then go into obs. Any change to 1 discord source will make changes to all discord sources,,,,
✓,"Put ""March In - Camera A"" SCENE on the program -> have talent count down from 10->Confirm audio from ""Discord"" source in ""Audio Mixer"" Pannel ",Producer,12/5/2025,1hr,OBS,You should see the discord audio bar move,,,,
✓,"Confirm Audio from ""discord"" source is high enough to hear over ""Camera A"" source",Producer,12/5/2025,1hr,Talent Audio Testing,"Make sure audio is clear over the sound of the meet from camera A, but also make sure you can still hear the background noise of the meet ",,,,
✓,Complete Dry Run with talent for introduction ,Producer,12/5/2025,1hr,Talent,,,,,
,"Review 3 Rules 1 - dont make assumptions about athletes & be overly positive, 2 - any issues mute mic & pick up phone to call isaac or producer (if small use text group chat), 3 - have fun :)",Producer,12/5/2025,1hr,Talent,,,,,
,Confirm Talent understand to mute their microphones if there is an issue and call isaac or producer on phone,Producer,12/5/2025,1hr,Talent,,,,,
,Confirm Talent understand to text in cell phone group chat for any issues or ideas,Producer,12/5/2025,1hr,Talent,,,,,
,Confirm Talent have 2025 Master: Talent Time Sheets Open & are on correct tab for meet,Producer,12/5/2025,1hr,Talent,,,,,
,Confirm Talent understand to start the intro immedately after the national antheum ends,Producer,12/5/2025,1hr,Talent,,,,,
,Camera Ready at Event 1 & LIVE - If not call Isaac ,Producer,12/5/2025,30min,Camera Ops,,,,,
,"Confirm Stream output is set to ""Stream Starting Soon"" scene",Producer,12/5/2025,10min,OBS,,,,,
,"(UN: support@virti.us
PW: V1rtiusReality)
Start Streaming on OBS  and confirm exelent connection in youtube studio",Producer,12/5/2025,10 min,OBS,,,,,
,Start Streaming in Youtube Studio -> PRESS GO LIVE BUTTON IN YOUTUBE,Producer,12/5/2025,10 min,Youtube,,,,,
,"Log onto Virtius as Fan, Judge, Mobile to check for correct stream output ",Producer,12/5/2025,-1 min,Virtius,,,,,
,Update Event Summary to Correct Rotation by interacting with the browser source and selecting the right rotation,Rotation Change,12/5/2025,Durring Show,OBS,,,,,
,Put Event Summary up and wait for all scores for the rotation to be finsihed,Rotation Change,12/5/2025,Durring Show,OBS,,,,,
,Update Next Event Lineups to Correct Rotation by interacting with the browser source and selecting the right rotation,Rotation Change,12/5/2025,Durring Show,OBS,,,,,
,Turn off Streamin Youtube Studio,Producer,12/5/2025,End of Stream,Youtube,,,,,
,Send Isaac a message you are complete with the competition,Producer,12/5/2025,End of Stream, Communications,,,,,
,Turn off VM ,Isaac,12/5/2025,End of Stream,VM,,,,,
,Turn off haivison,Isaac,12/5/2025,End of Stream,VM,,,,,
,Update & Upload Final Site Evaluation ,Isaac,12/5/2025,-1,Site Evaluation ,,,,,
